ID,age,workclass,fnlwgt,education-num,marital_status,occupation,relationship,race,sex,capital-gain,capital-loss,hours,country
32241,45,7,23,13,1,11,2,5,2,1,1,40,39
11420,19,4,10,10,5,12,4,5,1,1,1,15,39
5623,41,9,23,3,3,8,1,4,2,1,1,40,39
21501,81,4,17,9,3,4,1,5,2,1,3,26,39
32116,56,4,13,6,3,1,1,3,2,1,1,40,39
28806,35,6,33,10,3,4,1,5,2,1,1,40,39
6122,18,4,7,9,5,12,4,2,1,1,1,40,39
19686,27,6,20,10,5,8,2,3,2,1,1,40,39
32068,21,4,14,8,5,5,2,5,2,1,1,40,39
40,31,4,50,5,3,7,1,5,2,1,1,43,39
4491,60,4,12,7,3,12,1,5,2,1,1,40,39
9962,47,4,33,13,3,10,1,5,2,1,1,60,39
12102,34,4,17,9,6,1,5,5,1,1,1,40,39
31874,30,4,3,9,5,7,2,5,1,1,1,40,39
26623,26,4,3,10,3,4,1,5,2,5,1,50,39
28079,39,7,17,9,5,8,5,3,1,1,1,40,39
10424,51,4,24,10,1,3,2,5,2,1,1,48,39
8174,63,5,13,15,3,10,1,5,2,9,1,50,39
11681,48,4,3,10,3,14,1,5,2,1,1,60,39
14533,29,2,38,10,3,11,1,5,2,1,2,40,39
17536,21,4,39,10,5,1,4,5,1,1,1,40,39
21225,62,4,2,10,7,1,2,5,1,1,1,40,39
14191,50,4,11,7,3,7,1,3,2,1,1,40,39
29135,24,4,14,10,5,12,4,5,2,1,1,20,39
14318,27,4,7,13,5,13,2,2,1,1,1,40,30
6981,64,4,9,10,3,1,1,5,2,1,1,40,39
19715,52,4,40,9,5,1,5,3,1,1,1,40,39
6701,56,4,41,4,3,14,1,5,2,1,1,36,39
317,22,4,39,3,3,7,3,5,1,1,1,40,26
23564,33,5,28,9,5,8,5,2,2,1,1,40,40
3178,58,6,19,9,4,8,5,5,1,1,1,45,39
15960,65,9,19,9,7,8,2,5,1,1,1,35,39
14544,17,4,7,5,5,3,4,5,1,1,1,16,39
1349,62,9,22,4,3,8,1,5,2,4,1,50,39
12023,24,4,5,13,3,4,6,5,1,1,1,40,39
12643,45,4,27,7,3,3,1,5,2,1,1,40,42
9812,44,2,8,14,3,10,6,5,1,1,1,40,39
28419,57,6,18,9,3,3,1,5,2,1,1,50,39
23007,27,2,22,7,3,3,1,5,2,1,1,40,26
11515,69,4,37,13,1,6,2,5,2,1,1,40,39
10569,40,2,24,13,3,10,1,5,2,1,1,48,39
8643,43,9,11,10,3,8,1,5,2,1,1,45,39
9217,47,4,21,13,3,4,1,5,2,1,1,45,39
7092,21,4,21,6,5,1,2,5,1,1,1,39,39
28296,61,4,22,3,3,3,1,5,2,1,1,40,8
169,66,2,5,11,7,10,2,5,1,1,1,20,39
18051,52,4,38,3,7,8,5,5,1,1,1,40,26
16971,66,6,10,13,3,4,1,5,2,1,1,8,39
5181,18,4,24,7,5,3,4,5,2,1,1,35,39
6047,42,4,12,13,5,12,5,5,2,1,1,40,39
15552,35,4,9,13,3,8,6,5,1,1,1,32,39
4861,48,4,14,9,5,7,3,5,2,1,1,40,6
18368,27,4,10,11,3,3,1,5,2,1,1,40,39
22485,25,4,10,6,3,14,1,5,2,1,1,40,39
9696,45,4,36,9,6,7,5,3,1,1,1,40,39
7659,32,4,22,13,3,10,1,4,2,1,1,40,7
19666,23,2,28,9,5,8,4,3,2,1,1,32,39
10807,54,4,11,10,1,4,2,5,1,1,1,40,39
32560,52,5,28,9,3,4,6,5,1,9,1,40,39
23169,43,4,18,3,6,7,2,5,1,1,1,40,26
15769,45,2,19,14,1,10,2,5,1,1,1,40,39
2622,42,4,24,9,3,3,1,1,2,1,1,60,39
17566,40,4,23,8,3,10,1,5,2,1,1,40,5
492,35,4,3,12,5,4,2,5,1,1,1,60,39
16824,27,4,24,10,5,1,2,5,1,1,1,56,39
19279,32,4,19,10,1,7,5,1,2,1,1,40,39
20103,24,4,14,10,5,1,4,3,1,1,1,40,39
21319,29,4,4,9,5,1,2,5,1,1,1,55,39
3381,32,4,4,13,3,4,1,5,2,1,1,40,39
8955,30,6,25,10,3,1,6,5,1,1,1,55,39
31171,28,4,8,10,3,4,1,5,2,1,1,50,39
32450,38,4,25,5,3,14,1,3,2,1,1,40,39
7717,18,4,30,9,5,1,4,5,1,1,1,25,39
16665,65,4,42,10,3,11,1,5,2,1,1,40,39
