age,workclass,fnlwgt,education-num,marital_status,occupation,relationship,race,sex,capital-gain,capital-loss,hours,na�ve-country
39,7,7,13,5,1,2,5,2,3,1,40,39
50,6,8,13,3,4,1,5,2,1,1,13,39
38,4,21,9,1,6,2,5,2,1,1,40,39
53,4,23,7,3,6,1,3,2,1,1,40,39
28,4,33,13,3,10,6,3,1,1,1,40,5
37,4,28,14,3,4,6,5,1,1,1,40,39
49,4,16,5,4,8,2,3,1,1,1,16,23
52,6,20,9,3,4,1,5,2,1,1,45,39
31,4,4,14,5,10,2,5,1,9,1,50,39
42,4,15,13,3,4,1,5,2,6,1,40,39
37,4,28,10,3,4,1,3,2,1,1,80,39
30,7,14,13,3,10,1,2,2,1,1,40,19
23,4,12,13,5,1,4,5,1,1,1,30,39
32,4,20,12,5,12,2,3,2,1,1,50,39
40,4,12,11,3,3,1,2,2,1,1,40,42
34,4,24,4,3,14,1,1,2,1,1,45,26
25,6,17,9,5,5,4,5,2,1,1,35,39
32,4,19,9,5,7,5,5,2,1,1,40,39
38,4,2,7,3,12,1,5,2,1,1,50,39
43,6,29,14,1,4,5,5,1,1,1,45,39
40,4,19,16,3,10,1,5,2,1,1,60,39
54,4,30,9,6,8,5,3,1,1,1,20,39
35,1,7,5,3,5,1,3,2,1,1,40,39
43,4,11,7,3,14,1,5,2,1,3,40,39
59,4,10,9,1,13,5,5,1,1,1,40,39
56,2,21,13,3,13,1,5,2,1,1,40,39
19,4,16,9,5,3,4,5,2,1,1,40,39
54,9,18,10,3,8,1,2,2,1,1,60,35
39,4,36,9,1,4,2,5,2,1,1,80,39
49,4,19,9,3,3,1,5,2,1,1,40,39
23,2,19,12,5,11,2,5,2,1,1,52,39
20,4,26,10,5,12,4,3,2,1,1,44,39
45,4,38,13,1,4,4,5,2,1,2,40,39
30,1,5,10,3,1,4,5,2,1,1,40,39
22,7,31,10,3,8,1,3,2,1,1,15,39
48,4,24,7,5,7,5,5,2,1,1,40,33
21,4,19,10,5,7,4,5,2,1,1,40,39
19,4,54,9,2,1,6,5,1,1,1,25,39
31,4,8,10,3,12,1,5,2,1,1,38,42
48,6,26,12,3,10,1,5,2,1,1,40,39
31,4,50,5,3,7,1,5,2,1,1,43,39
53,6,8,13,3,10,1,5,2,1,1,40,39
24,4,17,13,3,13,1,5,2,1,1,50,39
49,4,9,9,6,1,5,5,1,1,1,40,39
25,4,28,9,5,6,2,5,2,1,1,35,39
57,1,33,13,3,10,1,3,2,1,1,40,39
53,4,14,9,3,7,1,5,2,1,1,38,39
44,4,12,14,1,4,5,5,1,1,1,40,39
41,7,10,11,3,3,1,5,2,1,1,40,39
29,4,27,11,5,10,2,5,2,1,1,43,39
25,4,3,10,3,4,6,4,1,1,1,40,39
18,4,22,9,5,8,4,5,1,1,1,30,42
47,4,5,15,3,10,6,5,1,1,2,60,16
50,1,25,13,1,4,2,5,2,1,1,55,39
47,5,10,9,1,4,2,5,2,1,1,60,39
43,4,23,10,3,13,1,5,2,1,1,40,39
46,4,21,3,3,7,1,5,2,1,1,40,26
35,4,5,11,3,8,1,5,2,1,1,40,33
41,4,14,9,3,1,1,5,2,1,1,48,39
30,4,18,9,3,7,1,5,2,6,1,40,39
30,4,5,13,3,12,1,5,2,3,1,40,39
32,9,29,4,4,8,2,5,2,1,1,40,42
48,4,14,9,3,14,1,5,2,1,1,40,39
42,4,11,16,3,10,1,5,2,1,1,45,39
29,4,10,10,1,13,2,5,2,1,1,58,39
36,4,15,9,3,3,1,5,2,1,1,40,39
