order,level_0,index,ID,int,vector
0,5788,5788,17009,6393341031047152089869680356944416129127154323824192692152187252431251853250729252616643409860852515106382363127220811190435315553801117731060187136,00000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000010000000000010000000001000000010000000010110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1,903,903,14,6097165137335922496148155662212940999752963583575432262226150845412100549894105975856470847220173861543630529319351124377382299466816091586560,00000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000100000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000100000000000100000010000110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
2,2678,2678,23205,12486994201263968925547542710331561202946431777366051525089505220545390501575445537521179981636714600842912105898509109644751000925884907067015168,00000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000010000000001000000100000000000100000000010110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
3,4819,4819,25288,381072821083495166586119925334734426261830950477905934228660214353486094101190571636755094541642704294483789475075445966222307743405562658816,00000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000100000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000100001000000010000000000100000000010110000000000100000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
4,5215,5215,31916,25573364124188608359478213736794889544532132298365093019882921673575454400928586018569681445693559962968554541540352244179049804381739089352493891584,00000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000100000000000000010000000001000000000100001000110000000001000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
5,2360,2360,9601,3048582568667961332688929141937116579134612573520957721838460841668409507556894317905181714711948442259363643876517532322865750764549415370752,00000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001000000000000000100100000000010100010000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
6,5306,5306,24236,48777321098687378784733048718019427008750143662538276706468377373181465175468979800828706057416737119306205203499607710487490909159672478957568,00000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000100000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000001000000000000000010100000000010110000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
7,227,227,22727,99895953610111751404380344263641503512195420540054638347580563147584603679800285968606510496575359830400919918479801702956414285006468491111301120,00000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000100000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000010000000000000100010000000011010000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
8,7852,7852,22057,23258839177628652116713604537202130246132499062103653375805512827130201976086344938681774799756872934149232996846307692130417853895540736,00000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000100000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000010000100000000010110000000001000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
9,5156,5156,16302,693209731113467155003221091950277954574922996020130107745782618849507616090864815835118678192794219780581908575193435291315601408,00000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000100010000000000010000000010110000000001000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
10,1070,1070,3292,1453677448760444119195864843384686065907106505614939536608323690338421211744768263196831383284983514145433913673107835745784327756054528,00000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000100000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000001000001000000000000010000100000000010110000000001000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
11,6610,6610,24696,95268205270873955609066979475833130734366690226795279334229551304704936269299607109349054816703647832367522054018945770800812985735857569792,00000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000100000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000001000000000010000000100000000010110000000001000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
